origin,destination,distance,transport_mode,base_lead_time,chaos_severity,event_type,actual_travel_time
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,7,Equipment Failure,4.7
PORT_MUMBAI,PORT_CAPE,9000,Sea,18,0,Normal,20.48
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,7,Equipment Failure,4.33
PORT_LA,WH_CHICAGO,2800,Rail,4,4,Severe Weather,6.78
PORT_LA,WH_CHICAGO,2800,Rail,4,3,Port Strike,5.83
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.01
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,2,Equipment Failure,7.44
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,1,Port Strike,6.03
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,7,Equipment Failure,15.2
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,5,Equipment Failure,7.77
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,1,Port Strike,14.66
PORT_SHANGHAI,PORT_LA,10500,Sea,14,6,Severe Weather,27.41
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,6,Equipment Failure,26.24
PORT_LA,WH_CHICAGO,2800,Rail,4,3,Severe Weather,5.96
PORT_VANCOUVER,WH_CHICAGO,3200,Rail,5,0,Normal,4.59
HUB_DELHI,PORT_MUNDRA,1100,Rail,1.5,10,Congestion,4.88
HUB_BANGALORE,PORT_MUMBAI,1000,Road,2,9,Port Strike,6.18
PORT_MUMBAI,PORT_SUEZ,4500,Sea,6,9,Port Strike,13.84
WH_CHICAGO,WH_NY,1140,Road,2,4,Congestion,3.37
PORT_SUEZ,PORT_ANTWERP,3500,Sea,6,9,Severe Weather,12.83
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,7,Port Strike,26.85
PORT_CAPE,PORT_ANTWERP,6000,Sea,6,3,Congestion,10.1
PORT_SHANGHAI,PORT_VANCOUVER,9000,Sea,12,10,Equipment Failure,39.09
PORT_LA,WH_CHICAGO,2800,Rail,4,10,Port Strike,9.43
HUB_BANGALORE,PORT_CHENNAI,350,Road,1,0,Normal,1.07
FACTORY_SHENZHEN,PORT_SHANGHAI,1200,Rail,2,0,Normal,1.86
